DiscardTypeID,DiscardDestinationID,Year,DiscardDestinationRatio
1,2,1966,0
1,2,1967,0
1,2,1968,0
1,2,1969,0
1,2,1970,0
1,2,1971,0
1,2,1972,0
1,2,1973,0
1,2,1974,0
1,2,1975,0
1,2,1976,0
1,2,1977,0
1,2,1978,0
1,2,1979,0
1,2,1980,0
1,2,1981,0
1,2,1982,0
1,2,1983,0
1,2,1984,0
1,2,1985,0
1,2,1986,0
1,2,1987,0
1,2,1988,0
1,2,1989,0
1,2,1990,0.02
1,2,1991,0.02
1,2,1992,0.02
1,2,1993,0.02
1,2,1994,0.02
1,2,1995,0.02
1,2,1996,0.02
1,2,1997,0.02
1,2,1998,0.02
1,2,1999,0.02
1,2,2000,0.07
1,2,2001,0.07
1,2,2002,0.07
1,2,2003,0.08
1,2,2004,0.08
1,2,2005,0.08
1,2,2006,0.08
1,2,2007,0.08
1,2,2008,0.08
