EndUseID,PrimaryProductID,TimberProductID,TimberProduct,PrimaryProduct,EndUseProduct
87,13,2,"softwood, sawtimber",plywood,"manufacturing, other manufacturing"
88,13,2,"softwood, sawtimber",plywood,"other, n/a"
89,13,2,"softwood, sawtimber",plywood,"rail and railcar, n/a"
90,13,2,"softwood, sawtimber",plywood,"new nonresidential, new nonres buildings"
91,13,2,"softwood, sawtimber",plywood,"new housing, manufactured housing"
92,13,2,"softwood, sawtimber",plywood,"packaging and shipping, n/a"
93,13,2,"softwood, sawtimber",plywood,"new nonresidential, other"
94,14,2,"softwood, sawtimber",wood pulp,wood pulp
95,15,3,"hardwood, pulpwood",fuelwood and other,fuelwood and other
96,16,3,"hardwood, pulpwood",lumber,"rail and railcar, n/a"
97,16,3,"hardwood, pulpwood",lumber,"packaging and shipping, n/a"
98,16,3,"hardwood, pulpwood",lumber,"other, n/a"
99,16,3,"hardwood, pulpwood",lumber,"manufacturing, furniture"
100,16,3,"hardwood, pulpwood",lumber,"new housing, multifamily"
101,16,3,"hardwood, pulpwood",lumber,"new nonresidential, other"
102,16,3,"hardwood, pulpwood",lumber,"new housing, single family"
103,16,3,"hardwood, pulpwood",lumber,"new nonresidential, new nonres buildings"
104,16,3,"hardwood, pulpwood",lumber,"new housing, manufactured housing"
105,16,3,"hardwood, pulpwood",lumber,"residential r and r, n/a"
106,16,3,"hardwood, pulpwood",lumber,"manufacturing, other manufacturing"
107,17,3,"hardwood, pulpwood",non-structural panels,"manufacturing, other manufacturing"
108,17,3,"hardwood, pulpwood",non-structural panels,"new housing, multifamily"
109,17,3,"hardwood, pulpwood",non-structural panels,"other, n/a"
110,17,3,"hardwood, pulpwood",non-structural panels,"residential r and r, n/a"
111,17,3,"hardwood, pulpwood",non-structural panels,"new nonresidential, new nonres buildings"
112,17,3,"hardwood, pulpwood",non-structural panels,"packaging and shipping, n/a"
113,17,3,"hardwood, pulpwood",non-structural panels,"new nonresidential, other"
114,17,3,"hardwood, pulpwood",non-structural panels,"new housing, single family"
